Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
Φ ,Street ,2:03 ,190,,5,8,10,Give Up TREATMENT Vol. 8,3,6,phi,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/70/A.png/revision/latest?cb=20200228152440
Lueur de la nuit ,AAAA + ck ,2:17 ,220,,6,8,10,Give Up TREATMENT Vol. 8,4,6,lueur_de_la_nuit,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c3/Lueur_de_la_nuit.jpeg/revision/latest?cb=20200228152459
Creamy Sugary OVERDRIVE!!! ,BTB ,2:00 ,190,,4,7,10,Give Up TREATMENT Vol. 8,5,6,creamy_sugary_overdrive,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/2f/Creamy_Sugary_OVERDRIVE.png/revision/latest?cb=20200228152614
Disorder (feat.YURI) ,HyuN ,2:09 ,193,,5,7,11,Give Up TREATMENT Vol. 8,6,6,disorder,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ac/Disorder_feat._YURI.png/revision/latest?cb=20200228152701
雨后甜点 ,Sugar & Co.（ANK feat.kumako） ,2:30 ,128,,2,4,6,Cute is Everything Vol. 5,1,6,yuhou_tiandian,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/48/%E9%9B%A8%E5%90%8E%E7%94%9C%E7%82%B9.png/revision/latest?cb=20200331150049
告白应援方程式 ,S9ryne Feat.祈Inory ,2:09 ,160,,3,5,7,Cute is Everything Vol. 5,2,6,gaobai_yingyuan_fangchengshi,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/8a/%E5%91%8A%E7%99%BD%E5%BA%94%E6%8F%B4%E6%96%B9%E7%A8%8B%E5%BC%8F_.png/revision/latest?cb=20200331150432
Omatsuri feat.兔子ST ,Nekock·LK ,2:14 ,145,,1,3,6,Cute is Everything Vol. 5,3,6,omatsuri,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/be/Omatsuri_feat.%E5%85%94%E5%AD%90ST.png/revision/latest?cb=20200331150150
FUTUREPOP ,Sugar & Co.（ANK feat.kumako） ,2:34 ,124,,2,5,7,Cute is Everything Vol. 5,4,6,futurepop,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/50/FUTUREPOP.png/revision/latest?cb=20200331145929
The Breeze ,sctl feat.Syepias ,1:26 ,98,,1,4,6,Cute is Everything Vol. 5,5,6,the_breeze,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f5/The_Breeze.png/revision/latest?cb=20200331150238
I LOVE LETTUCE FRIED RICE!! ,Moroboshi Nana feat.Katou Haruka & Hirose Yuuki ,1:53 ,190,,3,7,9,Cute is Everything Vol. 5,6,6,i_love_lettuce_fried_rice,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/0e/I_LOVE_LETTUCE_FRIED_RICE%21%21.png/revision/latest?cb=20200331150326
